asof_date,weights_json
2026-02-02T13:30:00,"{""AAPL"": 0.475, ""MSFT"": 0.475}"
2026-02-02T19:30:00,"{""AAPL"": 0.475, ""MSFT"": 0.475}"
2026-02-03T13:30:00,"{""AAPL"": 0.475, ""MSFT"": 0.475}"
2026-02-03T19:30:00,"{""AAPL"": 0.475, ""MSFT"": 0.475}"
2026-02-04T13:30:00,"{""AAPL"": 0.3325, ""MSFT"": 0.38, ""NVDA"": 0.2375}"
2026-02-04T19:30:00,"{""AAPL"": 0.3325, ""MSFT"": 0.38, ""NVDA"": 0.2375}"
2026-02-05T13:30:00,"{""AAPL"": 0.3325, ""MSFT"": 0.38, ""NVDA"": 0.2375}"
2026-02-05T19:30:00,"{""AAPL"": 0.3325, ""MSFT"": 0.38, ""NVDA"": 0.2375}"
2026-02-06T13:30:00,"{""COIN"": 0.2375, ""MSFT"": 0.285, ""NVDA"": 0.4275}"
2026-02-06T19:30:00,"{""COIN"": 0.2375, ""MSFT"": 0.285, ""NVDA"": 0.4275}"
2026-02-09T13:30:00,"{""COIN"": 0.2375, ""MSFT"": 0.285, ""NVDA"": 0.4275}"
2026-02-09T19:30:00,"{""COIN"": 0.2375, ""MSFT"": 0.285, ""NVDA"": 0.4275}"
2026-02-10T13:30:00,"{""AMD"": 0.2375, ""COIN"": 0.3325, ""NVDA"": 0.38}"
2026-02-10T19:30:00,"{""AMD"": 0.2375, ""COIN"": 0.3325, ""NVDA"": 0.38}"
2026-02-11T13:30:00,"{""AMD"": 0.2375, ""COIN"": 0.3325, ""NVDA"": 0.38}"
2026-02-11T19:30:00,"{""AMD"": 0.2375, ""COIN"": 0.3325, ""NVDA"": 0.38}"
2026-02-12T13:30:00,"{""AMD"": 0.285, ""COIN"": 0.4275, ""NVDA"": 0.2375}"
2026-02-12T19:30:00,"{""AMD"": 0.285, ""COIN"": 0.4275, ""NVDA"": 0.2375}"
2026-02-13T13:30:00,"{""AMD"": 0.285, ""COIN"": 0.4275, ""NVDA"": 0.2375}"
2026-02-13T19:30:00,"{""AMD"": 0.285, ""COIN"": 0.4275, ""NVDA"": 0.2375}"
